Vendas por Linha de Produto (Unidades),Vendas por Linha de Produto (Unidades),Vendas por Linha de Produto (Valor),Vendas por Linha de Produto (Valor),Média de Vendas por Linha de Produto,Média de Vendas por Linha de Produto,Vendas por Filial (Unidades),Vendas por Filial (Unidades),Vendas por Filial (Valor),Vendas por Filial (Valor),Média de Vendas por Filial,Média de Vendas por Filial,Vendas por Tipo de Cliente (Unidades),Vendas por Tipo de Cliente (Unidades),Vendas por Tipo de Cliente (Valor),Vendas por Tipo de Cliente (Valor),Vendas Diárias,Vendas Diárias,Vendas Mensais,Vendas Mensais,Vendas por Hora,Vendas por Hora,Métodos de Pagamento,Métodos de Pagamento,Vendas por Método de Pagamento,Vendas por Método de Pagamento,Distribuição de Gênero,Distribuição de Gênero,Avaliação Média por Linha de Produto,Avaliação Média por Linha de Produto,Avaliação Média por Filial,Avaliação Média por Filial,Satisfação do Cliente,Satisfação do Cliente
Linha de Produto,Total de Vendas,Linha de Produto,Total de Vendas,Linha de produto,Média de vendas,Filial,Total de Vendas,Filial,Total de Vendas,Filial,Média de vendas,Tipo de Cliente,Total de Vendas,Tipo de Cliente,Total de Vendas,Data,Total de Vendas,Mês,Total de Vendas,Hora,Total de Vendas,Método de Pagamento,Número de Transações,Método de Pagamento,Total de Vendas,Gênero,Número de Clientes,Linha de Produto,Média de Avaliação,Filial,Avaliação Média,Client Satisfaction,count
Health and beauty,854.0,Electronic accessories,54337.5315,Electronic accessories,319.6325382352941,A,1859.0,A,106200.3705,A,312.35403088235296,Member,2785.0,Member,164223.444,2019-01-01,4745.181,2019-01,116291.868,10:00,31421.481,Ewallet,345.0,Cash,112206.57,Female,501.0,Electronic accessories,6.924705882352941,A,7.0,Satisfeitos,685.0
Electronic accessories,971.0,Fashion accessories,54305.895,Fashion accessories,305.089297752809,C,1831.0,B,106197.672,B,319.8725060240964,Normal,2725.0,Normal,158743.305,2019-01-02,1945.5030000000002,2019-02,97219.374,11:00,30377.3295,Cash,344.0,Credit card,100767.072,Male,499.0,Fashion accessories,7.0292134831460675,B,6.8,Insatisfeitos,315.0
Home and lifestyle,911.0,Food and beverages,56144.844,Food and beverages,322.6715172413793,B,1820.0,C,110568.7065,C,337.0997149390244,,,,,2019-01-03,2078.1285,2019-03,109455.507,12:00,26065.8825,Credit card,311.0,Ewallet,109993.107,,,Food and beverages,7.113218390804598,C,7.1,,
Sports and travel,920.0,Health and beauty,49193.739,Health and beauty,323.6430197368421,,,,,,,,,,,2019-01-04,1623.6885,,,13:00,34723.227,,,,,,,Health and beauty,7.003289473684211,,,,
Food and beverages,952.0,Home and lifestyle,53861.913,Home and lifestyle,336.63695625,,,,,,,,,,,2019-01-05,3536.6835,,,14:00,30828.399,,,,,,,Home and lifestyle,6.8375,,,,
Fashion accessories,902.0,Sports and travel,55122.8265,Sports and travel,332.0652198795181,,,,,,,,,,,2019-01-06,3614.205,,,15:00,31179.5085,,,,,,,Sports and travel,6.916265060240963,,,,
,,,,,,,,,,,,,,,,2019-01-07,2834.2439999999997,,,16:00,25226.3235,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-08,5293.7325,,,17:00,24445.218,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-09,3021.3435,,,18:00,26030.34,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-10,3560.9489999999996,,,19:00,39699.513,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-11,2114.9625,,,20:00,22969.527,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-12,5184.7635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-13,2451.204,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-14,3966.6164999999996,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-15,5944.26,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-16,4289.082,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-17,3142.7549999999997,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-18,2780.4735,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-19,4914.7245,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-20,3655.4489999999996,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-21,2392.0995000000003,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-22,1704.7694999999999,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-23,5994.1875,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-24,5402.050499999999,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-25,4700.367,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-26,4457.5125,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-27,4635.897,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-28,4999.711499999999,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-29,3516.5655,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-30,2558.2619999999997,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-01-31,5232.4965,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-01,2444.5365,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-02,4140.948,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-03,5467.9275,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-04,2439.4965,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-05,3031.1295,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-06,2905.4235,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-07,7228.2105,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-08,5084.6565,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-09,3271.8945,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-10,3141.0225,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-11,4542.153,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-12,2998.989,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-13,934.2375,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-14,2454.0915,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-15,6830.7855,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-16,2503.767,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-17,5299.5705,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-18,1496.0295,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-19,4228.119,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-20,2706.417,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-21,1393.7385,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-22,2442.3105,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-23,2339.589,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-24,2722.461,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-25,4807.236,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-26,2408.1645,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-27,5859.4515,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-02-28,2097.018,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-01,2634.366,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-02,6560.3054999999995,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-03,4853.1735,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-04,3894.4395,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-05,6230.8785,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-06,3092.5965,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-07,1438.2585,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-08,3125.3880000000004,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-09,7474.0470000000005,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-10,3163.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-11,2961.252,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-12,3677.5515,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-13,2063.607,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-14,7214.634,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-15,2942.415,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-16,3154.473,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-17,1976.289,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-18,1292.8335,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-19,5740.392,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-20,5458.2045,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-21,1877.5155,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-22,3179.148,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-23,4095.042,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-24,3477.4635,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-25,2272.9665,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-26,1962.5130000000001,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-27,2902.8195,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-28,2229.402,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-29,4023.243,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,2019-03-30,4487.0595,,,,,,,,,,,,,,,,
